dia;celula_a;celula_b;tipo;regiao;bandas;bandas_sig;r_mediano;prop_sig
D04;CD202|IRRIG;CD202|NIRRIG;estresse;SWIR2;651;578;0.3076309078476192;0.8878648233486943
D04;CD202|IRRIG;CD202|NIRRIG;estresse;VIS;300;267;0.31923808985875635;0.89
D04;CD202|IRRIG;CD202|NIRRIG;estresse;red edge;80;44;0.22678647929452456;0.55
D04;CD202|IRRIG;EMB48|IRRIG;genotipo;NIR;570;563;0.3737837284006033;0.987719298245614
D04;CD202|IRRIG;EMB48|IRRIG;genotipo;SWIR1;450;355;0.33173813202459623;0.7888888888888889
D04;CD202|IRRIG;EMB48|IRRIG;genotipo;SWIR2;651;520;0.34366999045562524;0.7987711213517665
D04;CD202|IRRIG;EMB48|IRRIG;genotipo;VIS;300;254;0.30243608512934805;0.8466666666666667
D04;CD202|IRRIG;EMB48|IRRIG;genotipo;red edge;80;56;0.2623385472726927;0.7
D04;CD202|IRRIG;EMB48|NIRRIG;cruzado;NIR;570;316;0.17370188464219133;0.5543859649122806
D04;CD202|IRRIG;EMB48|NIRRIG;cruzado;SWIR1;450;168;0.10048735195655742;0.37333333333333335
D04;CD202|IRRIG;EMB48|NIRRIG;cruzado;SWIR2;651;569;0.22207867120609134;0.8740399385560675
D04;CD202|IRRIG;EMB48|NIRRIG;cruzado;VIS;300;207;0.26931909030036955;0.69
D04;CD202|IRRIG;EMB48|NIRRIG;cruzado;red edge;80;48;0.1788155382554895;0.6
D04;CD202|NIRRIG;EMB48|IRRIG;cruzado;NIR;570;76;0.10998413723839684;0.13333333333333333
D04;CD202|NIRRIG;EMB48|IRRIG;cruzado;SWIR1;450;87;0.10064969016650338;0.19333333333333333
D04;CD202|NIRRIG;EMB48|IRRIG;cruzado;SWIR2;651;284;0.1448056832718081;0.4362519201228879
D04;CD202|NIRRIG;EMB48|IRRIG;cruzado;VIS;300;72;0.0963477276029351;0.24
D04;CD202|NIRRIG;EMB48|IRRIG;cruzado;red edge;80;21;0.05974046126011814;0.2625
D04;CD202|NIRRIG;EMB48|NIRRIG;genotipo;NIR;570;42;0.0709417977463903;0.07368421052631578
D04;CD202|NIRRIG;EMB48|NIRRIG;genotipo;SWIR1;450;240;0.17191616433278561;0.5333333333333333
D04;CD202|NIRRIG;EMB48|NIRRIG;genotipo;SWIR2;651;32;0.08133144318293258;0.04915514592933948
D04;CD202|NIRRIG;EMB48|NIRRIG;genotipo;VIS;300;0;0.05551966780152284;0.0
D04;CD202|NIRRIG;EMB48|NIRRIG;genotipo;red edge;80;0;0.10909127708369398;0.0
D04;EMB48|IRRIG;EMB48|NIRRIG;estresse;NIR;570;424;0.18149411871959803;0.743859649122807
D04;EMB48|IRRIG;EMB48|NIRRIG;estresse;SWIR1;450;372;0.19967599823354704;0.8266666666666667
D04;EMB48|IRRIG;EMB48|NIRRIG;estresse;SWIR2;651;401;0.18052008945992218;0.6159754224270353
D04;EMB48|IRRIG;EMB48|NIRRIG;estresse;VIS;300;205;0.20316626974738547;0.6833333333333333
D04;EMB48|IRRIG;EMB48|NIRRIG;estresse;red edge;80;37;0.13863683129386112;0.4625
D05;BR16|IRRIG;BR16|NIRRIG;estresse;NIR;570;570;0.43117028561650483;1.0
D05;BR16|IRRIG;BR16|NIRRIG;estresse;SWIR1;450;439;0.35649470904135716;0.9755555555555555
D05;BR16|IRRIG;BR16|NIRRIG;estresse;SWIR2;651;651;0.39805329078752627;1.0
D05;BR16|IRRIG;BR16|NIRRIG;estresse;VIS;300;300;0.4451313716718585;1.0
D05;BR16|IRRIG;BR16|NIRRIG;estresse;red edge;80;55;0.42297220601423324;0.6875
D05;BR16|IRRIG;CD202|IRRIG;genotipo;NIR;570;12;0.08100676676304064;0.021052631578947368
D05;BR16|IRRIG;CD202|IRRIG;genotipo;SWIR1;450;223;0.14797127836575458;0.4955555555555556
D05;BR16|IRRIG;CD202|IRRIG;genotipo;SWIR2;651;99;0.08522756022163593;0.15207373271889402
D05;BR16|IRRIG;CD202|IRRIG;genotipo;VIS;300;41;0.030357245259896987;0.13666666666666666
D05;BR16|IRRIG;CD202|IRRIG;genotipo;red edge;80;40;0.15316610108402573;0.5
D05;BR16|IRRIG;CD202|NIRRIG;cruzado;NIR;570;570;0.4573879065227795;1.0
D05;BR16|IRRIG;CD202|NIRRIG;cruzado;SWIR1;450;434;0.47102431615824125;0.9644444444444444
D05;BR16|IRRIG;CD202|NIRRIG;cruzado;SWIR2;651;639;0.37905972022384743;0.9815668202764977
D05;BR16|IRRIG;CD202|NIRRIG;cruzado;VIS;300;259;0.4211864857048274;0.8633333333333333
D05;BR16|IRRIG;CD202|NIRRIG;cruzado;red edge;80;71;0.3968357542129315;0.8875
D05;BR16|IRRIG;EMB48|IRRIG;genotipo;NIR;570;570;0.36071550249995243;1.0
D05;BR16|IRRIG;EMB48|IRRIG;genotipo;SWIR1;450;433;0.39058573313001155;0.9622222222222222
D05;BR16|IRRIG;EMB48|IRRIG;genotipo;SWIR2;651;458;0.24837746121733897;0.7035330261136713
D05;BR16|IRRIG;EMB48|IRRIG;genotipo;VIS;300;194;0.19667274134954654;0.6466666666666666
D05;BR16|IRRIG;EMB48|IRRIG;genotipo;red edge;80;60;0.23344234590230944;0.75
D05;BR16|IRRIG;EMB48|NIRRIG;cruzado;NIR;570;570;0.623703402612429;1.0
D05;BR16|IRRIG;EMB48|NIRRIG;cruzado;SWIR1;450;445;0.5472421057278756;0.9888888888888889
D05;BR16|IRRIG;EMB48|NIRRIG;cruzado;SWIR2;651;651;0.5834435265458278;1.0
D05;BR16|IRRIG;EMB48|NIRRIG;cruzado;VIS;300;283;0.6117715441814;0.9433333333333334
D05;BR16|IRRIG;EMB48|NIRRIG;cruzado;red edge;80;69;0.4288975506772612;0.8625
D05;BR16|NIRRIG;CD202|IRRIG;cruzado;NIR;570;570;0.3476472765993016;1.0
D05;BR16|NIRRIG;CD202|IRRIG;cruzado;SWIR1;450;330;0.23279299306252557;0.7333333333333333
D05;BR16|NIRRIG;CD202|IRRIG;cruzado;SWIR2;651;651;0.4162351703014753;1.0
D05;BR16|NIRRIG;CD202|IRRIG;cruzado;VIS;300;300;0.4622580528211587;1.0
