dia;banda_nm;genotipo_a;condicao_a;genotipo_b;condicao_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;554;BR16;IRRIG;CD202;NIRRIG;-0.04216792295004357;3.474261694996587;4.0724590126981886;False;24.658516794486125;5.121349635424963e-19
D02;555;BR16;IRRIG;CD202;NIRRIG;-0.04162617615770037;3.4299166409484587;4.0724590126981886;False;24.406122363430818;7.423116460375056e-19
D02;556;BR16;IRRIG;CD202;NIRRIG;-0.040967743469083606;3.376509379263508;4.0724590126981886;False;24.082294498127613;1.1976300084165524e-18
D02;557;BR16;IRRIG;CD202;NIRRIG;-0.04023066900969652;3.3175813473543605;4.0724590126981886;False;23.69654094097419;2.1238909733307183e-18
D02;558;BR16;IRRIG;CD202;NIRRIG;-0.03936257640444407;3.248457547990073;4.0724590126981886;False;23.235868347106;4.228677090880891e-18
D02;559;BR16;IRRIG;CD202;NIRRIG;-0.03835782485964012;3.1681750665136303;4.0724590126981886;False;22.703653044332462;9.427258438077012e-18
D02;560;BR16;IRRIG;CD202;NIRRIG;-0.03727078520653371;3.080840335286926;4.0724590126981886;False;22.135964375367678;2.233387315803638e-17
D02;561;BR16;IRRIG;CD202;NIRRIG;-0.03607169875136851;2.983332710011266;4.0724590126981886;False;21.51156072065272;5.818727400642507e-17
D02;562;BR16;IRRIG;CD202;NIRRIG;-0.034745988107501624;2.8742646386102098;4.0724590126981886;False;20.82676270455033;1.681307908051125e-16
D02;563;BR16;IRRIG;CD202;NIRRIG;-0.03331496045164628;2.7560417902944843;4.0724590126981886;False;20.103980300541014;5.217878845387926e-16
D02;564;BR16;IRRIG;CD202;NIRRIG;-0.03175539259157856;2.6271687148410536;4.0724590126981886;False;19.345025371136956;1.7382575518200281e-15
D02;565;BR16;IRRIG;CD202;NIRRIG;-0.030082126964809275;2.488810422458069;4.0724590126981886;False;18.551078086591538;6.218921943434942e-15
D02;566;BR16;IRRIG;CD202;NIRRIG;-0.028321906462767554;2.3428695503514105;4.0724590126981886;False;17.725660833404664;2.3816272082052312e-14
D02;567;BR16;IRRIG;CD202;NIRRIG;-0.02652079657207307;2.1935971964922296;4.0724590126981886;False;16.898273884392744;9.319017267882978e-14
D02;568;BR16;IRRIG;CD202;NIRRIG;-0.02466089440022534;2.0397497642381124;4.0724590126981886;False;16.078536635899308;3.667627775268546e-13
D02;569;BR16;IRRIG;CD202;NIRRIG;-0.02279838138737067;1.8856218171614167;4.0724590126981886;False;15.268222662913338;1.4471838100126163e-12
D02;570;BR16;IRRIG;CD202;NIRRIG;-0.020909259472529085;1.7290205385013229;4.0724590126981886;False;14.480045290415234;5.5987967051959185e-12
D02;571;BR16;IRRIG;CD202;NIRRIG;-0.01900643124548873;1.5711606831243383;4.0724590126981886;False;13.714309471742771;2.119952788342461e-11
D02;572;BR16;IRRIG;CD202;NIRRIG;-0.01716362573251562;1.4182277000550865;4.0724590126981886;False;12.991619401937626;7.564964802945227e-11
