dia;genotipo;banda_nm;n_irrig;n_nirrig;H;p_valor;q_fdr;epsilon2;delta_cliff;significativa
D02;BR16;573;32;32;0.011538461538461539;0.9144579851508905;0.9745326384911146;0.0;0.015625;False
D02;BR16;574;32;32;0.008834134615384615;0.9251170390746953;0.9745326384911146;0.0;0.013671875;False
D02;BR16;575;32;32;0.008834134615384615;0.9251170390746953;0.9745326384911146;0.0;0.013671875;False
D02;BR16;576;32;32;0.004507211538461539;0.946473618223126;0.9828948815066489;0.0;0.009765625;False
D02;BR16;577;32;32;0.00018028846153846155;0.9892870031229711;0.9946213938260853;0.0;-0.001953125;False
D02;BR16;578;32;32;0.008834134615384615;0.9251170390746953;0.9745326384911146;0.0;-0.013671875;False
D02;BR16;579;32;32;0.04056490384615385;0.8403801010875871;0.9393022274281423;0.0;-0.029296875;False
D02;BR16;580;32;32;0.05210336538461539;0.8194428627949356;0.9311231643171263;0.0;-0.033203125;False
D02;BR16;581;32;32;0.07211538461538462;0.7882813208580621;0.9170533120135482;0.0;-0.0390625;False
D02;BR16;582;32;32;0.10384615384615385;0.7472620257953904;0.8994333420811887;0.0;-0.046875;False
D02;BR16;583;32;32;0.12187500000000001;0.727009731456113;0.8928724306685556;0.0;-0.05078125;False
D02;BR16;584;32;32;0.15162259615384616;0.6969895449569337;0.882423183152266;0.0;-0.056640625;False
D02;BR16;585;32;32;0.17325721153846155;0.6772330970551881;0.8752394972023886;0.0;-0.060546875;False
D02;BR16;586;32;32;0.18461538461538463;0.6674364917098823;0.8719186270681328;0.0;-0.0625;False
