seed;fold;dia;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;4;D06;1;1;1.222676832232649
42;4;D06;1;1;1.2527603566362695
42;4;D09;0;1;0.6421951747550971
42;4;D09;0;1;0.6259944387219387
42;4;D09;1;1;0.8463729034821643
42;4;D09;1;1;0.8262405183742085
42;4;D09;1;1;0.7307043144897565
42;4;D09;1;1;0.7439381852376267
42;4;D09;1;1;0.8031731447878924
42;4;D09;0;1;0.645873134575625
42;4;D09;1;1;0.7928851271585962
42;4;D09;1;1;0.8049175292054724
42;4;D09;1;1;0.5939495538140666
42;4;D09;1;1;0.6118359780732691
42;4;D09;0;0;0.3548488777874822
42;4;D09;0;0;0.3007983748265861
42;4;D09;0;0;0.28630385910937173
42;4;D09;1;1;0.6231751191434141
42;4;D09;1;1;0.7875607607502368
42;4;D09;1;1;0.7924526040616502
42;4;D09;1;1;0.7960771411528762
42;4;D09;0;0;0.4913345386371232
42;4;D09;0;0;0.44617101687363153
42;4;D09;0;0;0.39403724508798144
42;4;D09;0;0;0.4748228829015187
42;4;D09;1;1;0.8008978729045624
42;4;D10;0;0;0.189972698363866
42;4;D10;0;0;0.24377874039785818
42;4;D10;0;0;0.20743837850444874
42;4;D10;1;1;0.736580802397341
42;4;D10;0;1;0.5237780545690645
42;4;D10;1;1;0.725391421024541
42;4;D10;1;1;0.7280256734654875
42;4;D10;0;0;0.12483440714866179
42;4;D10;0;0;0.17123430602439982
42;4;D10;0;0;0.1215560974104043
42;4;D10;1;1;0.5925581706178715
42;4;D10;1;1;0.6500337744091571
42;4;D10;1;1;0.6083761619784613
42;4;D10;1;1;0.5735797577352331
42;4;D10;0;0;0.4881740231571282
42;4;D10;0;1;0.6357878225846736
42;4;D10;1;1;0.6115346233029437
42;4;D10;1;1;0.542788299853408
43;1;D02;0;0;0.4224726487352508
43;1;D02;0;1;0.6102017524070269
43;1;D02;0;1;0.5884453512085243
43;1;D02;0;1;0.5710948516733755
43;1;D02;0;0;0.40489138877872766
43;1;D02;1;1;0.9215573104709164
43;1;D02;1;0;0.4117390341530647
43;1;D02;0;1;0.5556575975822892
43;1;D02;0;1;0.5228147622114118
43;1;D02;0;1;0.5328098928780369
