dia;banda_nm;F_anova;p_anova;eta2;significativo_anova
D09;1700;2.6476168200472583;0.024359201052209088;0.06513584380035443;True
D09;1701;2.6682207927896355;0.02343074115782942;0.06560947936189782;True
D09;1702;2.6887666139814193;0.02253921011880715;0.06608130050954922;True
D09;1703;2.710581442343184;0.021628757292115303;0.0665817422967067;True
D09;1704;2.735814529860708;0.020620270159652964;0.06715993190354068;True
D09;1705;2.7450739721098367;0.02026181384116053;0.06737192265226591;True
D09;1706;2.7457893076221285;0.020234375533953942;0.06738829592653114;True
D09;1707;2.749261361329012;0.020101710801054964;0.06746775940184421;True
D09;1708;2.7464471778355275;0.02020917341160527;0.06740335337333378;True
D09;1709;2.7391340525246184;0.020491058054959377;0.06723594195677002;True
D09;1710;2.7249289060446773;0.021049587151964547;0.06691058718190235;True
D09;1711;2.714185444457966;0.021481830006655774;0.06666436807781997;True
D09;1712;2.7084175235534653;0.02171744521730162;0.06653212500796434;True
D09;1713;2.7115487633327615;0.021589225927887958;0.06660392064904551;True
D09;1714;2.725038623713752;0.021045216871632102;0.06691310102593719;True
D09;1715;2.7357843363976757;0.02062144907352967;0.06715924048019951;True
D09;1716;2.7471618491787724;0.020181829989200574;0.0674197103431914;True
D09;1717;2.7570354087380586;0.019807737385725787;0.06764563175630206;True
D09;1718;2.7653228257113533;0.019498967698987756;0.067835175439043;True
D09;1719;2.7761692110153193;0.019101941235703464;0.06808312955169318;True
D09;1720;2.7882146685531017;0.018670264057178976;0.0683583405454311;True
D09;1721;2.8064279346548924;0.0180355736180341;0.06877416320656508;True
D09;1722;2.824559534153878;0.01742467181823383;0.0691877528229263;True
D09;1723;2.838757025832623;0.016960474877805214;0.06951134737124742;True
D09;1724;2.8544666078227365;0.01646091827858692;0.0698691439353211;True
D09;1725;2.8692588513028907;0.016003697079960258;0.0702057960420151;True
D09;1726;2.8851627507326034;0.015525969097170307;0.07056747623392806;True
D09;1727;2.906639652705397;0.014902918957615198;0.07105544912470374;True
D09;1728;2.9472418107099667;0.013791206962717573;0.07197656497437392;True
D09;1729;3.003631985417953;0.012380938757411673;0.07325282761503002;True
