grupo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
todas;625;1924;0.9958837294880056;4.108891269464645e-05;6.137899485558621e-05;False;False
todas;626;1924;0.9958288240489929;3.569327258593059e-05;5.363143009065468e-05;False;False
todas;627;1924;0.9957774452564407;3.130999451943098e-05;4.746252679922612e-05;False;False
todas;628;1924;0.9957248029852352;2.7395944430001717e-05;4.1807352697867204e-05;False;False
todas;629;1924;0.9956781160673599;2.4350482088440944e-05;3.741036611490065e-05;False;False
todas;630;1924;0.995629263669022;2.1538297868258338e-05;3.3289411399998384e-05;False;False
todas;631;1924;0.995570499563783;1.859713728866128e-05;2.8917914009889528e-05;False;False
todas;632;1924;0.9955053412463062;1.5818942331882918e-05;2.4788478279500528e-05;False;False
todas;633;1924;0.9954263380008561;1.3019197536888656e-05;2.0603683756295245e-05;False;False
todas;634;1924;0.9953233768318303;1.0123258806098268e-05;1.6233622995549292e-05;False;False
todas;635;1924;0.9952018211875155;7.546205554756712e-06;1.2322665280896509e-05;False;False
todas;636;1924;0.9950624526319898;5.410906693399856e-06;9.007929892989533e-06;False;False
todas;637;1924;0.9948952675929768;3.6516701485156896e-06;6.1642596498812176e-06;False;False
todas;638;1924;0.9947019518566003;2.335245690180828e-06;3.996938106028449e-06;False;False
todas;639;1924;0.9944979632385259;1.4695103631943052e-06;2.5607185683190484e-06;False;False
todas;640;1924;0.9942793019892285;9.028684877112953e-07;1.5991219933470352e-06;False;False
todas;641;1924;0.9940434182684857;5.394607818749485e-07;9.870063011824438e-07;False;False
todas;642;1924;0.9937664079512915;2.985787550131813e-07;5.707222987251023e-07;False;False
todas;643;1924;0.9934612462049429;1.5809026297227585e-07;3.239192101459918e-07;False;False
todas;644;1924;0.9931220854656416;7.942683916735908e-08;1.7040214135172959e-07;False;False
todas;645;1924;0.9927658875264461;3.931418912222327e-08;8.688944169146544e-08;False;False
todas;646;1924;0.99239239438016;1.919293605621507e-08;4.364158741828948e-08;False;False
todas;647;1924;0.9920147182964361;9.482017285357342e-09;2.2430931317494705e-08;False;False
todas;648;1924;0.9916441583476479;4.834962976232141e-09;1.1833543036100384e-08;False;False
todas;649;1924;0.9912804759265925;2.5383401460536373e-09;6.3644689970122374e-09;False;False
todas;650;1924;0.9909348234930224;1.3959440432919063e-09;3.6990713601959946e-09;False;False
todas;651;1924;0.9905984249003763;7.901788778000211e-10;2.1522667707408274e-09;False;False
todas;652;1924;0.9902621679676715;4.528249323245367e-10;1.2601681630904e-09;False;False
todas;653;1924;0.9899223436141787;2.6100458098555903e-10;7.954240647865996e-10;False;False
todas;654;1924;0.9895715346001587;1.4953393377981417e-10;4.899266744127777e-10;False;False
todas;655;1924;0.9891938767692908;8.314710413019992e-11;3.019875143092134e-10;False;False
todas;656;1924;0.9887796524709854;4.431469683946678e-11;1.8033619686060788e-10;False;False
todas;657;1924;0.9883378997681234;2.3011691237879874e-11;1.1237375887831338e-10;False;False
todas;658;1924;0.9878592899060593;1.1512545024101859e-11;5.888336619559329e-11;False;False
todas;659;1924;0.9873466350314762;5.587831411506225e-12;3.015958480262965e-11;False;False
todas;660;1924;0.9868043301453367;2.6540296355885915e-12;1.529049096233764e-11;False;False
todas;661;1924;0.9862502977671539;1.26566730412807e-12;7.818926628815275e-12;False;False
todas;662;1924;0.9856985152784643;6.170401494281754e-13;4.190560749924463e-12;False;False
todas;663;1924;0.9851616467956692;3.1204847990555307e-13;2.3188820010372803e-12;False;False
todas;664;1924;0.9846468208191421;1.6475951805934914e-13;1.3356591760463442e-12;False;False
todas;665;1924;0.9841626823021183;9.153447902158481e-14;7.600697023209329e-13;False;False
todas;666;1924;0.9837140910449929;5.36615396230842e-14;4.566797417715588e-13;False;False
todas;667;1924;0.9833003020374596;3.307474645350939e-14;2.8989873921430666e-13;False;False
todas;668;1924;0.9829189823314407;2.1325454209410754e-14;1.8934418434416215e-13;False;False
todas;669;1924;0.9825809275869158;1.4531516930712088e-14;1.312957763211035e-13;False;False
todas;670;1924;0.9822897980785608;1.0485556202465788e-14;9.775398077844242e-14;False;False
todas;671;1924;0.9820356172841074;7.909417900744582e-15;7.510285238160712e-14;False;False
todas;672;1924;0.9818260187223281;6.2814074343371976e-15;6.048435045927508e-14;False;False
todas;673;1924;0.9816526208216864;5.1981429474796935e-15;5.0527920309387924e-14;False;False
todas;674;1924;0.9815035547749363;4.4217852079046084e-15;4.360135317986707e-14;False;False
todas;675;1924;0.9813916152389973;3.918296899691166e-15;3.901178126828438e-14;False;False
todas;676;1924;0.981308214239177;3.58196923926528e-15;3.6369400543233116e-14;False;False
todas;677;1924;0.981252138802705;3.3727418459054697e-15;3.4587467629760594e-14;False;False
todas;678;1924;0.9812303677375099;3.2949531343705113e-15;3.395954210348703e-14;False;False
todas;679;1924;0.9812671872790647;3.4276184851842978e-15;3.4975350811507433e-14;False;False
todas;680;1924;0.9813789024614958;3.8649922220670705e-15;3.897445453500584e-14;False;False
todas;681;1924;0.9815733357339052;4.769085969991942e-15;4.680093456676303e-14;False;False
todas;682;1924;0.9818826731505679;6.683944324525997e-15;6.405967200748981e-14;False;False
todas;683;1924;0.9823083018948761;1.0704140498997443e-14;9.934023603368216e-14;False;False
todas;684;1924;0.982893144501758;2.070559415032046e-14;1.846398852274229e-13;False;False
todas;685;1924;0.9836695350665562;5.0916905294201624e-14;4.351273864933647e-13;False;False
todas;686;1924;0.9846541114978722;1.6623986559658127e-13;1.3423541903094025e-12;False;False
todas;687;1924;0.9858719942455543;7.718741677305253e-13;5.0740830705618835e-12;False;False
todas;688;1924;0.9872954697436908;5.204285783126628e-12;2.831297119679765e-11;False;False
todas;689;1924;0.9888439513100097;4.8815102739105364e-11;1.947855558714107e-10;False;False
todas;690;1924;0.9905057816201398;6.770099990667938e-10;1.8563469359438422e-09;False;False
todas;691;1924;0.9922854044777888;1.5686555733089212e-08;3.602813640376929e-08;False;False
todas;692;1924;0.9939877109672637;4.784159748586851e-07;8.865944450985688e-07;False;False
todas;693;1924;0.9954620272943663;1.4214022877071814e-05;2.240651575369721e-05;False;False
todas;694;1924;0.996683149207623;0.0003501531049080982;0.0004813431757148186;False;False
todas;695;1924;0.9972736299534279;0.001917183466515713;0.0024683887569514926;False;False
